Frame Count;Start Time;End Time
1293;2024-01-15 22:43:10.259;
1294;2024-01-15 22:43:10.272;
1295;2024-01-15 22:43:10.287;
1296;2024-01-15 22:43:10.303;
1297;2024-01-15 22:43:10.317;
1298;2024-01-15 22:43:10.332;
1299;2024-01-15 22:43:10.348;
1300;2024-01-15 22:43:10.362;
1301;2024-01-15 22:43:10.379;
1302;2024-01-15 22:43:10.393;
1303;2024-01-15 22:43:10.406;
1304;2024-01-15 22:43:10.420;
1305;2024-01-15 22:43:10.436;
1306;2024-01-15 22:43:10.450;
1307;2024-01-15 22:43:10.467;
1308;2024-01-15 22:43:10.482;
1309;2024-01-15 22:43:10.496;
1310;2024-01-15 22:43:10.510;
1311;2024-01-15 22:43:10.523;
1312;2024-01-15 22:43:10.542;
1313;2024-01-15 22:43:10.560;2024-01-15 22:43:10.642
1314;2024-01-15 22:43:10.574;
1315;2024-01-15 22:43:10.587;
1316;2024-01-15 22:43:10.603;
1317;2024-01-15 22:43:10.616;
1318;2024-01-15 22:43:10.628;
1319;2024-01-15 22:43:10.642;
1320;2024-01-15 22:43:10.656;
1321;2024-01-15 22:43:10.672;
1322;2024-01-15 22:43:10.684;
1323;2024-01-15 22:43:10.697;
1324;2024-01-15 22:43:10.713;
1325;2024-01-15 22:43:10.727;
1326;2024-01-15 22:43:10.744;2024-01-15 22:43:10.800
1327;2024-01-15 22:43:10.760;
1328;2024-01-15 22:43:10.776;
1329;2024-01-15 22:43:10.793;
1330;2024-01-15 22:43:10.805;
1331;2024-01-15 22:43:10.821;
1332;2024-01-15 22:43:10.836;
1333;2024-01-15 22:43:10.852;
1334;2024-01-15 22:43:10.868;
1335;2024-01-15 22:43:10.883;
1336;2024-01-15 22:43:10.898;2024-01-15 22:43:10.972
1337;2024-01-15 22:43:10.913;
1338;2024-01-15 22:43:10.926;
1339;2024-01-15 22:43:10.944;
1340;2024-01-15 22:43:10.961;
1341;2024-01-15 22:43:10.975;
1342;2024-01-15 22:43:10.991;
1343;2024-01-15 22:43:11.006;
1344;2024-01-15 22:43:11.022;
1345;2024-01-15 22:43:11.038;
1346;2024-01-15 22:43:11.052;
1347;2024-01-15 22:43:11.067;
1348;2024-01-15 22:43:11.082;
1349;2024-01-15 22:43:11.097;
1350;2024-01-15 22:43:11.113;
1351;2024-01-15 22:43:11.126;
1352;2024-01-15 22:43:11.143;
1353;2024-01-15 22:43:11.156;
1354;2024-01-15 22:43:11.176;
1355;2024-01-15 22:43:11.190;
1356;2024-01-15 22:43:11.206;
1357;2024-01-15 22:43:11.219;
1358;2024-01-15 22:43:11.236;
1359;2024-01-15 22:43:11.250;
1360;2024-01-15 22:43:11.270;
1361;2024-01-15 22:43:11.285;
1362;2024-01-15 22:43:11.302;
1363;2024-01-15 22:43:11.317;
1364;2024-01-15 22:43:11.334;
1365;2024-01-15 22:43:11.349;
1366;2024-01-15 22:43:11.364;
1367;2024-01-15 22:43:11.384;
1368;2024-01-15 22:43:11.400;
1369;2024-01-15 22:43:11.415;
1370;2024-01-15 22:43:11.431;2024-01-15 22:43:11.492
1371;2024-01-15 22:43:11.448;
1372;2024-01-15 22:43:11.464;
1373;2024-01-15 22:43:11.478;
1374;2024-01-15 22:43:11.497;
1375;2024-01-15 22:43:11.514;
1376;2024-01-15 22:43:11.526;
1377;2024-01-15 22:43:11.540;
1378;2024-01-15 22:43:11.555;
1379;2024-01-15 22:43:11.570;
1380;2024-01-15 22:43:11.583;
1381;2024-01-15 22:43:11.601;
1382;2024-01-15 22:43:11.616;
1383;2024-01-15 22:43:11.630;
1384;2024-01-15 22:43:11.644;
1385;2024-01-15 22:43:11.655;
1386;2024-01-15 22:43:11.672;
1387;2024-01-15 22:43:11.686;
1388;2024-01-15 22:43:11.702;
1389;2024-01-15 22:43:11.714;
1390;2024-01-15 22:43:11.730;
1391;2024-01-15 22:43:11.744;
1392;2024-01-15 22:43:11.756;
1393;2024-01-15 22:43:11.771;
1394;2024-01-15 22:43:11.787;
1395;2024-01-15 22:43:11.801;
1396;2024-01-15 22:43:11.816;
1397;2024-01-15 22:43:11.829;2024-01-15 22:43:11.891
1398;2024-01-15 22:43:11.840;
1399;2024-01-15 22:43:11.853;
1400;2024-01-15 22:43:11.867;
1401;2024-01-15 22:43:11.879;
1402;2024-01-15 22:43:11.890;
1403;2024-01-15 22:43:11.903;
1404;2024-01-15 22:43:11.919;
1405;2024-01-15 22:43:11.935;
1406;2024-01-15 22:43:11.946;
1407;2024-01-15 22:43:11.959;
1408;2024-01-15 22:43:11.972;
1409;2024-01-15 22:43:11.985;
